"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"T4G Nano","t4g.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0042 hourly","$0.0026 hourly","$0.0042 hourly","unavailable","unavailable"
"T3A Nano","t3a.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0047 hourly","$0.0029 hourly","$0.0040 hourly","$0.0093 hourly","$0.0075 hourly"
"T3 Nano","t3.nano","0.5 GiB","2 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0052 hourly","$0.0033 hourly","$0.0040 hourly","$0.0098 hourly","$0.0079 hourly"
"T2 Nano","t2.nano","0.5 GiB","1 vCPUs                                                         for a                   1h 12m                   burst","EBS only","Low to Moderate","$0.0058 hourly","$0.0036 hourly","unavailable","$0.0081 hourly","$0.0059 hourly"
"T4G Micro","t4g.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0084 hourly","$0.0053 hourly","$0.0084 hourly","unavailable","unavailable"
"T3A Micro","t3a.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0094 hourly","$0.0059 hourly","$0.0080 hourly","$0.0186 hourly","$0.0151 hourly"
"T3 Micro","t3.micro","1.0 GiB","2 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Up to 5 Gigabit","$0.0104 hourly","$0.0065 hourly","$0.0078 hourly","$0.0196 hourly","$0.0157 hourly"
"T2 Micro","t2.micro","1.0 GiB","1 vCPUs                                                         for a                   2h 24m                   burst","EBS only","Low to Moderate","$0.0116 hourly","$0.0072 hourly","$0.0039 hourly","$0.0162 hourly","$0.0118 hourly"
"T4G Small","t4g.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0168 hourly","$0.0105 hourly","$0.0142 hourly","unavailable","unavailable"
"T3A Small","t3a.small","2.0 GiB","2 vCPUs                                                         for a                   4h 48m                   burst","EBS only","Up to 5 Gigabit","$0.0188 hourly","$0.0118 hourly","$0.0161 hourly","$0.0372 hourly","$0.0302 hourly"
"T1 Micro","t1.micro","0.613 GiB","1 vCPUs","EBS only","Very Low","$0.0200 hourly","$0.0140 hourly","$0.0031 hourly","$0.0200 hourly","$0.0150 hourly"
